"[u'causes', u'methods', u'ipta', u'formulate', u'safety', u'especially', u'lot', u'true', u'buntar', u'disabled']","[u'fallen', u'borrowed', u'secure', u'activities', u'badly', u'armed_forces', u'challenges', u'ops_cantas', u'charges', u'confiscated']","[u'clearly', u'studies', u'drugs', u'single', u'saved', u'delivered', u'medium', u'rm', u'services', u'actually']","[u'leaving', u'to', u'reports', u'granting', u'explain', u'holders', u'businesses', u'obstacles', u'sold', u'actions']","[u'reached', u'benefit', u'effectively', u'disasters', u'transferred', u'deemed', u'products', u'preparedness', u'belaga', u'successful']","[u'figure', u'period', u'settled', u'johor', u'facing', u'establishment', u'what', u'secondary', u'bankrupt', u'rendered']","[u'if', u'imposed', u'india', u'involvement', u'laws', u'involving', u'express', u'implementation_gst', u'peninsula', u'granting']","[u'sold', u'police_officers', u'please', u'island', u'bonds', u'industrial', u'religious', u'look', u'retailers', u'study']","[u'cancer', u'bangladeshi_workers', u'decision', u'shown', u'participated', u'possibility', u'areas', u'growing', u'ec', u'monitored']","[u'strengthen', u'proton', u'enter', u'competitiveness', u'school', u'curbing', u'issue', u'pilot', u'overall', u'ban']"
"[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'facing', u'plan', u'created', u'including']","[u'far', u'state', u'using', u'ensure', u'plan', u'higher', u'increase', u'facing', u'including', u'created']","[u'far', u'state', u'ensure', u'using', u'increase', u'higher', u'plan', u'created', u'facing', u'including']","[u'state', u'far', u'using', u'ensure', u'higher', u'increase', u'facing', u'plan', u'created', u'including']","[u'far', u'state', u'using', u'ensure', u'increase', u'higher', u'plan', u'facing', u'created', u'including']","[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'facing', u'plan', u'including', u'created']","[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'facing', u'plan', u'including', u'created']","[u'far', u'state', u'using', u'ensure', u'increase', u'higher', u'facing', u'plan', u'including', u'created']","[u'state', u'far', u'using', u'ensure', u'plan', u'higher', u'facing', u'increase', u'including', u'created']","[u'state', u'far', u'using', u'ensure', u'higher', u'facing', u'plan', u'created', u'increase', u'including']"
"[u'far', u'state', u'ensure', u'using', u'increase', u'higher', u'plan', u'facing', u'including', u'created']","[u'far', u'state', u'using', u'ensure', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'higher', u'plan', u'including', u'facing', u'created']","[u'far', u'state', u'using', u'ensure', u'increase', u'higher', u'plan', u'facing', u'including', u'created']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'higher', u'including', u'facing', u'created']","[u'far', u'state', u'ensure', u'using', u'increase', u'higher', u'plan', u'including', u'facing', u'billion']","[u'far', u'state', u'using', u'ensure', u'increase', u'plan', u'higher', u'including', u'facing', u'billion']","[u'far', u'state', u'using', u'ensure', u'increase', u'higher', u'plan', u'including', u'facing', u'billion']","[u'state', u'far', u'ensure', u'using', u'plan', u'increase', u'higher', u'facing', u'including', u'billion']","[u'state', u'far', u'using', u'ensure', u'increase', u'higher', u'plan', u'facing', u'including', u'created']"
"[u'far', u'state', u'ensure', u'using', u'increase', u'higher', u'plan', u'facing', u'including', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'billion']","[u'far', u'state', u'using', u'ensure', u'increase', u'plan', u'higher', u'including', u'facing', u'billion']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'higher', u'including', u'facing', u'billion']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'billion']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'billion']","[u'state', u'far', u'ensure', u'using', u'plan', u'increase', u'including', u'facing', u'higher', u'billion']","[u'state', u'far', u'ensure', u'using', u'increase', u'including', u'plan', u'facing', u'higher', u'billion']"
"[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'higher', u'including', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'plan', u'increase', u'including', u'facing', u'higher', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'billion']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'higher', u'including', u'facing', u'regarding']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'billion']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'billion']","[u'state', u'ensure', u'far', u'using', u'plan', u'increase', u'including', u'facing', u'higher', u'regarding']","[u'state', u'ensure', u'far', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'billion']"
"[u'far', u'ensure', u'state', u'using', u'increase', u'including', u'higher', u'plan', u'facing', u'problem']","[u'far', u'ensure', u'state', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'billion']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'including', u'plan', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'billion']","[u'state', u'far', u'ensure', u'using', u'increase', u'including', u'plan', u'higher', u'facing', u'billion']","[u'ensure', u'state', u'far', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'regarding']","[u'ensure', u'state', u'far', u'using', u'increase', u'including', u'plan', u'facing', u'higher', u'regarding']"
"[u'ensure', u'far', u'state', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'state', u'far', u'ensure', u'using', u'plan', u'increase', u'including', u'regarding', u'facing', u'higher']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'increase', u'including', u'plan', u'higher', u'facing', u'regarding']","[u'far', u'state', u'ensure', u'using', u'plan', u'increase', u'including', u'facing', u'higher', u'billion']","[u'state', u'far', u'ensure', u'using', u'increase', u'including', u'plan', u'facing', u'higher', u'sabah']","[u'state', u'ensure', u'far', u'using', u'plan', u'increase', u'including', u'facing', u'higher', u'regarding']","[u'ensure', u'state', u'far', u'using', u'increase', u'plan', u'including', u'facing', u'higher', u'regarding']"
"[u'ensure', u'far', u'state', u'using', u'increase', u'plan', u'including', u'facing', u'problem', u'higher']","[u'state', u'far', u'ensure', u'plan', u'using', u'increase', u'including', u'regarding', u'sabah', u'billion']","[u'far', u'state', u'ensure', u'using', u'increase', u'plan', u'including', u'billion', u'problem', u'higher']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'regarding', u'higher', u'problem']","[u'state', u'far', u'ensure', u'increase', u'using', u'plan', u'including', u'regarding', u'problem', u'facing']","[u'state', u'far', u'ensure', u'increase', u'using', u'plan', u'including', u'regarding', u'higher', u'facing']","[u'far', u'state', u'ensure', u'plan', u'using', u'increase', u'including', u'billion', u'facing', u'regarding']","[u'state', u'far', u'ensure', u'using', u'increase', u'plan', u'including', u'sabah', u'facing', u'regarding']","[u'state', u'ensure', u'far', u'plan', u'using', u'including', u'increase', u'regarding', u'facing', u'higher']","[u'ensure', u'state', u'far', u'using', u'plan', u'increase', u'including', u'facing', u'regarding', u'problem']"
"[u'ensure', u'far', u'state', u'increase', u'facing', u'using', u'plan', u'regarding', u'problem', u'including']","[u'state', u'ensure', u'far', u'increase', u'plan', u'regarding', u'including', u'using', u'billion', u'facing']","[u'state', u'far', u'ensure', u'plan', u'increase', u'including', u'using', u'regarding', u'billion', u'especially']","[u'state', u'ensure', u'far', u'using', u'increase', u'plan', u'regarding', u'billion', u'facing', u'including']","[u'state', u'far', u'ensure', u'increase', u'plan', u'using', u'especially', u'including', u'regarding', u'facing']","[u'state', u'far', u'ensure', u'increase', u'plan', u'using', u'regarding', u'including', u'facing', u'problem']","[u'state', u'far', u'ensure', u'plan', u'increase', u'using', u'billion', u'facing', u'including', u'regarding']","[u'state', u'ensure', u'far', u'increase', u'using', u'plan', u'including', u'facing', u'sabah', u'especially']","[u'state', u'ensure', u'far', u'plan', u'including', u'increase', u'using', u'facing', u'regarding', u'especially']","[u'ensure', u'state', u'far', u'plan', u'increase', u'using', u'facing', u'regarding', u'including', u'billion']"
"[u'medicines', u'', u'especially', u'residents', u'amend', u'ensure', u'penang', u'parliament', u'far', u'facilities']","[u'medicines', u'', u'residents', u'especially', u'amend', u'nationwide', u'flood', u'far', u'ensure', u'penang']","[u'medicines', u'', u'residents', u'especially', u'amend', u'nationwide', u'given', u'far', u'flood', u'cause']","[u'medicines', u'residents', u'', u'especially', u'amend', u'malaysians', u'nationwide', u'overcome', u'cost', u'prepared']","[u'medicines', u'', u'residents', u'especially', u'nationwide', u'amend', u'malaysians', u'parliament', u'state', u'far']","[u'medicines', u'', u'especially', u'nationwide', u'residents', u'malaysians', u'amend', u'prepared', u'facilities', u'increase']","[u'medicines', u'', u'residents', u'especially', u'amend', u'malaysians', u'the', u'penang', u'nationwide', u'parliament']","[u'medicines', u'', u'especially', u'residents', u'malaysians', u'nationwide', u'amend', u'parliament', u'prepared', u'far']","[u'medicines', u'', u'residents', u'especially', u'malaysians', u'nationwide', u'amend', u'status', u'prepared', u'ensure']","[u'medicines', u'', u'residents', u'amend', u'especially', u'ensure', u'penang', u'nationwide', u'civil_servants', u'rural']"
"[u'medicines', u'child', u'requires', u'private_companies', u'', u'kuala_lumpur', u'programme', u'impact', u'approved', u'account']","[u'medicines', u'child', u'private_companies', u'requires', u'', u'approved', u'account', u'sufficient', u'kuala_lumpur', u'reviewed']","[u'medicines', u'', u'requires', u'child', u'private_companies', u'sufficient', u'account', u'kuala_lumpur', u'independent', u'approved']","[u'medicines', u'private_companies', u'child', u'requires', u'', u'account', u'programme', u'achieved', u'reviewed', u'sufficient']","[u'medicines', u'private_companies', u'', u'requires', u'child', u'programme', u'sufficient', u'account', u'impact', u'approved']","[u'medicines', u'child', u'', u'requires', u'sufficient', u'reviewed', u'private_companies', u'programme', u'approved', u'nowadays']","[u'medicines', u'child', u'private_companies', u'', u'requires', u'account', u'sufficient', u'doctors', u'approved', u'nowadays']","[u'medicines', u'private_companies', u'child', u'', u'requires', u'account', u'patients', u'sufficient', u'achieved', u'impact']","[u'medicines', u'child', u'private_companies', u'', u'account', u'approved', u'programme', u'requires', u'sufficient', u'nowadays']","[u'medicines', u'child', u'private_companies', u'programme', u'requires', u'', u'sufficient', u'achieved', u'nowadays', u'account']"
"[u'medicines', u'', u'type', u'ensure', u'appointment', u'is', u'courses', u'making', u'home', u'gst']","[u'medicines', u'', u'type', u'appointment', u'students', u'quarters', u'child', u'making', u'courses', u'managed']","[u'medicines', u'', u'appointment', u'based', u'making', u'ensure', u'intends', u'sufficient', u'type', u'l']","[u'medicines', u'', u'type', u'appointment', u'permit', u'included', u'courses', u'making', u'home', u'the']","[u'medicines', u'', u'type', u'appointment', u'included', u'students', u'especially', u'reported', u'sufficient', u'plan']","[u'medicines', u'', u'included', u'type', u'allowed', u'involved', u'appointment', u'is', u'making', u'sufficient']","[u'medicines', u'', u'appointment', u'included', u'type', u'l', u'the', u'involved', u'permit', u'courses']","[u'medicines', u'', u'appointment', u'type', u'permit', u'l', u'managed', u'included', u'quarters', u'ensure']","[u'medicines', u'', u'included', u'appointment', u'type', u'provide', u'ensure', u'l', u'involved', u'sufficient']","[u'medicines', u'', u'appointment', u'type', u'permit', u'included', u'ensure', u'courses', u'making', u'l']"
"[u'medicines', u'awarding', u'current', u'child', u'reasons', u'', u'assist', u'home', u'tourist', u'demands']","[u'medicines', u'awarding', u'child', u'tourist', u'', u'assist', u'current', u'permit', u'quarters', u'claimed']","[u'medicines', u'awarding', u'', u'demands', u'current', u'permit', u'child', u'assist', u'reasons', u'tourist']","[u'medicines', u'awarding', u'permit', u'', u'assist', u'current', u'claimed', u'expenditure', u'home', u'demands']","[u'medicines', u'awarding', u'', u'claimed', u'plan', u'demands', u'current', u'permit', u'expenditure', u'home']","[u'medicines', u'awarding', u'', u'child', u'assist', u'allowed', u'current', u'implementation_gst', u'permit', u'tourist']","[u'medicines', u'awarding', u'child', u'permit', u'current', u'', u'claimed', u'assist', u'implementation_gst', u'tourist']","[u'medicines', u'awarding', u'current', u'permit', u'', u'reasons', u'agencies', u'demands', u'assist', u'local_authorities']","[u'medicines', u'awarding', u'', u'tourist', u'assist', u'expenditure', u'claimed', u'current', u'provide', u'local_authorities']","[u'medicines', u'awarding', u'permit', u'child', u'current', u'assist', u'', u'tourist', u'local_authorities', u'restore']"
"[u'medicines', u'drug', u'', u'awarding', u'farmers', u'sarawak', u'located', u'outside', u'investors', u'ensure']","[u'medicines', u'drug', u'', u'projects', u'awarding', u'investors', u'farmers', u'permanent', u'outside', u'sarawak']","[u'medicines', u'', u'drug', u'investors', u'demands', u'located', u'awarding', u'east', u'permanent', u'farmers']","[u'medicines', u'', u'drug', u'register', u'farmers', u'east', u'awarding', u'sarawak', u'investors', u'demands']","[u'medicines', u'', u'drug', u'east', u'investors', u'awarding', u'farmers', u'outside', u'demands', u'sarawak']","[u'medicines', u'drug', u'', u'register', u'east', u'awarding', u'investors', u'outside', u'farmers', u'projects']","[u'medicines', u'drug', u'', u'awarding', u'outside', u'if', u'east', u'farmers', u'register', u'reduce']","[u'medicines', u'', u'drug', u'sarawak', u'collection', u'awarding', u'east', u'outside', u'farmers', u'demands']","[u'medicines', u'drug', u'', u'east', u'farmers', u'outside', u'investors', u'awarding', u'register', u'reduce']","[u'medicines', u'', u'drug', u'east', u'awarding', u'outside', u'demands', u'farmers', u'implemented', u'areas']"
"[u'medicines', u'servants', u'type', u'determining', u'english', u'ensure', u'state', u'parliament', u'causes', u'problem']","[u'medicines', u'servants', u'type', u'state', u'determining', u'intends', u'english', u'causes', u'parliament', u'ensure']","[u'medicines', u'servants', u'determining', u'intends', u'', u'type', u'ensure', u'implementation', u'increasing', u'causes']","[u'medicines', u'servants', u'type', u'state', u'intends', u'determining', u'implementation', u'increasing', u'parliament', u'actions']","[u'medicines', u'servants', u'type', u'state', u'causes', u'intends', u'parliament', u'', u'implementation', u'english']","[u'medicines', u'servants', u'type', u'', u'english', u'intends', u'state', u'causes', u'measures', u'times']","[u'medicines', u'servants', u'type', u'english', u'state', u'parliament', u'intends', u'measures', u'determining', u'sabah_sarawak']","[u'medicines', u'servants', u'type', u'state', u'english', u'determining', u'actions', u'intends', u'parliament', u'']","[u'medicines', u'servants', u'type', u'state', u'intends', u'sabah_sarawak', u'english', u'parliament', u'determining', u'measures']","[u'medicines', u'servants', u'type', u'state', u'implementation', u'determining', u'ensure', u'intends', u'actions', u'parliament']"
"[u'medicines', u'', u'reach', u'hold', u'studies', u'living', u'loans', u'consider', u'amend', u'english']","[u'medicines', u'', u'studies', u'amend', u'living', u'loans', u'laws', u'planned', u'rural', u'consider']","[u'medicines', u'studies', u'', u'amend', u'living', u'reach', u'loans', u'rural', u'police', u'steps']","[u'medicines', u'studies', u'', u'loans', u'living', u'amend', u'planned', u'hold', u'fund', u'contractor']","[u'medicines', u'', u'studies', u'living', u'shows', u'hold', u'loans', u'reach', u'amend', u'fund']","[u'medicines', u'', u'studies', u'laws', u'planned', u'reach', u'rural', u'living', u'amend', u'contractor']","[u'medicines', u'', u'studies', u'living', u'laws', u'rural', u'consider', u'amend', u'police', u'hold']","[u'medicines', u'', u'living', u'studies', u'laws', u'rural', u'amend', u'loans', u'report', u'reach']","[u'medicines', u'', u'living', u'studies', u'shows', u'hold', u'loans', u'provide', u'consider', u'fund']","[u'medicines', u'', u'studies', u'living', u'amend', u'fund', u'rural', u'reach', u'hold', u'loans']"
