"[u'right', u'case', u'did', u'permanent', u'locally', u'rights', u'elected', u'rubber_tappers', u'upgraded', u'key']","[u'missing', u'duties', u'strategy', u'installed', u'yes', u'help', u'bought', u'suspected', u'poor', u'planning']","[u'technology', u'servants', u'approved', u'workers', u'construction', u'borrowers', u'near', u'scholarship', u'documents', u'refugees']","[u'party', u'free', u'reported', u'statements', u'include', u'conjunction', u'agriculture', u'abuse', u'restrict', u'married']","[u'shortterm', u'road', u'meet', u'broadband', u'dropped', u'inflation', u'drug', u'international', u'treated', u'time']","[u'itself', u'bridge', u'drop', u'proven', u'participated', u'strategy', u'registration', u'categories', u'vehicles', u'enacted']","[u'control', u'20102012', u'grants', u'form', u'experienced', u'house', u'as', u'detect', u'leaders', u'agricultural']","[u'resulted', u'ranked', u'fair', u'handed', u'abandoned', u'applications', u'flight', u'lose', u'enhance', u'benefited']","[u'exempted', u'payment', u'middlemen', u'charges', u'financial_institutions', u'ringgit', u'granting', u'commercialized', u'control', u'recent']","[u'pertaining', u'ended', u'destroyed', u'equity', u'teenagers', u'missing', u'construction', u'cause', u'drafting', u'collapsed']","[u'scholarships', u'klia2', u'tabung', u'selangor', u'taxi', u'participate', u'connecting', u'international', u'installed', u'special']","[u'jakim', u'leading', u'produced', u'regards', u'reflect', u'9mnaa', u'decrease', u'empower', u'standards', u'assisting']","[u'living', u'solving', u'late', u'primary_secondary_schools', u'adopt', u'forced', u'arrest', u'since', u'rising', u'seek']","[u'responsible', u'the', u'deliver', u'hudud', u'disclosed', u'difficulty', u'fight', u'new', u'laid', u'imposing']","[u'universities', u'air', u'burdening', u'repayment', u'funded', u'global', u'standards', u'jobs', u'bin', u'approving']","[u'hiring', u'capable', u'technical', u'peace', u'known', u'granted', u'logging', u'practised', u'conduct', u'detailed']","[u'achievements', u'declined', u'workforce', u'repay', u'acquired', u'investigations', u'homes', u'voters', u'completed', u'disclosed']","[u'blacklisted', u'details', u'organized', u'competitive', u'firearms', u'new', u'km', u'federal', u'teaching', u'places']","[u'applications', u'really', u'employees', u'promoting', u'far', u'women', u'revise', u'cars', u'showed', u'search']","[u'operations', u'unemployment', u'includes', u'protecting', u'introduced', u'abused', u'restoring', u'sales', u'measures', u'attended']"
"[u'medicines', u'intends', u'ensure', u'the', u'whether', u'especially', u'increase', u'reduce', u'implemented', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'reduce', u'increase', u'regarding', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'increase', u'regarding', u'reduce', u'involved']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'increase', u'regarding', u'reduce', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'reduce', u'regarding', u'increase', u'implemented']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'regarding', u'cost', u'reduce', u'involved']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'especially', u'increase', u'reduce', u'regarding', u'improve']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'especially', u'reduce', u'increase', u'regarding', u'cost']","[u'medicines', u'intends', u'ensure', u'the', u'especially', u'whether', u'increase', u'reduce', u'cost', u'implemented']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'especially', u'cost', u'regarding', u'increase', u'status']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'especially', u'regarding', u'increase', u'reduce', u'improve']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'regarding', u'reduce', u'increase', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'increase', u'implemented', u'regarding', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'regarding', u'increase', u'involved', u'cost']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'increase', u'implemented', u'reduce', u'regarding']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'cost', u'regarding', u'including', u'increase']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'increase', u'regarding', u'implemented', u'reduce']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'regarding', u'increase', u'improve', u'reduce']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'increase', u'cost', u'regarding', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'implemented', u'reduce', u'improve', u'increase']"
"[u'medicines', u'intends', u'the', u'especially', u'given', u'ensure', u'measures', u'implemented', u'plan', u'whether']","[u'medicines', u'ensure', u'given', u'the', u'especially', u'intends', u'measures', u'involved', u'implemented', u'reduce']","[u'medicines', u'the', u'given', u'ensure', u'intends', u'especially', u'involved', u'whether', u'measures', u'regarding']","[u'medicines', u'the', u'ensure', u'given', u'intends', u'especially', u'measures', u'plans', u'involved', u'whether']","[u'medicines', u'ensure', u'the', u'given', u'intends', u'especially', u'implemented', u'measures', u'regarding', u'whether']","[u'medicines', u'given', u'the', u'especially', u'ensure', u'intends', u'measures', u'involved', u'regarding', u'whether']","[u'medicines', u'ensure', u'intends', u'the', u'given', u'especially', u'measures', u'regarding', u'whether', u'reduce']","[u'medicines', u'given', u'intends', u'the', u'especially', u'ensure', u'reduce', u'measures', u'whether', u'involved']","[u'medicines', u'the', u'especially', u'given', u'intends', u'ensure', u'measures', u'implemented', u'whether', u'plan']","[u'medicines', u'the', u'intends', u'given', u'ensure', u'especially', u'measures', u'whether', u'cost', u'plans']","[u'medicines', u'the', u'given', u'intends', u'ensure', u'especially', u'measures', u'whether', u'involved', u'regarding']","[u'medicines', u'ensure', u'intends', u'the', u'given', u'especially', u'measures', u'involved', u'whether', u'regarding']","[u'medicines', u'the', u'ensure', u'intends', u'given', u'especially', u'measures', u'implemented', u'involved', u'cost']","[u'medicines', u'the', u'ensure', u'intends', u'given', u'especially', u'involved', u'regarding', u'plans', u'whether']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'given', u'measures', u'whether', u'implemented', u'plan']","[u'medicines', u'the', u'given', u'ensure', u'especially', u'intends', u'measures', u'cost', u'implemented', u'regarding']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'given', u'measures', u'implemented', u'whether', u'regarding']","[u'medicines', u'the', u'ensure', u'given', u'especially', u'intends', u'measures', u'whether', u'regarding', u'involved']","[u'medicines', u'ensure', u'the', u'especially', u'intends', u'given', u'measures', u'cost', u'whether', u'involved']","[u'medicines', u'the', u'ensure', u'given', u'intends', u'especially', u'measures', u'implemented', u'whether', u'involved']"
"[u'medicines', u'the', u'intends', u'ensure', u'whether', u'implemented', u'especially', u'increase', u'plan', u'measures']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'especially', u'implemented', u'including', u'regarding', u'given']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'regarding', u'including', u'implemented', u'set', u'especially']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'especially', u'regarding', u'given', u'including', u'implemented']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'including', u'implemented', u'especially', u'reduce']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'especially', u'implemented', u'including', u'given']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'set', u'including', u'implemented', u'reduce']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'especially', u'given', u'regarding', u'reduce', u'implemented']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'especially', u'implemented', u'including', u'increase', u'regarding']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'regarding', u'especially', u'implemented', u'including', u'given']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'regarding', u'especially', u'measures', u'including', u'given']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'especially', u'including', u'implemented', u'given']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'implemented', u'regarding', u'especially', u'including', u'measures']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'including', u'implemented', u'especially', u'given']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'implemented', u'especially', u'regarding', u'plan', u'measures']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'including', u'regarding', u'implemented', u'given', u'especially']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'especially', u'regarding', u'implemented', u'set', u'increase']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'regarding', u'especially', u'implemented', u'improve', u'including']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'especially', u'regarding', u'implemented', u'including', u'involved']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'implemented', u'especially', u'including', u'regarding', u'set']"
"[u'medicines', u'the', u'measures', u'intends', u'ensure', u'plan', u'especially', u'increase', u'whether', u'implemented']","[u'medicines', u'the', u'ensure', u'measures', u'especially', u'intends', u'whether', u'given', u'regarding', u'plan']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'measures', u'regarding', u'especially', u'increase', u'given']","[u'medicines', u'the', u'ensure', u'measures', u'intends', u'whether', u'especially', u'given', u'regarding', u'increase']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'regarding', u'measures', u'plan', u'especially', u'given']","[u'medicines', u'the', u'ensure', u'measures', u'whether', u'especially', u'intends', u'regarding', u'given', u'plan']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'measures', u'increase', u'especially', u'given']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'measures', u'given', u'plan', u'regarding']","[u'medicines', u'the', u'ensure', u'especially', u'whether', u'measures', u'intends', u'plan', u'increase', u'given']","[u'medicines', u'the', u'measures', u'ensure', u'whether', u'intends', u'especially', u'plan', u'given', u'regarding']","[u'medicines', u'the', u'measures', u'ensure', u'whether', u'intends', u'especially', u'regarding', u'given', u'plan']","[u'medicines', u'the', u'ensure', u'intends', u'measures', u'whether', u'especially', u'regarding', u'given', u'plan']","[u'medicines', u'the', u'ensure', u'measures', u'intends', u'whether', u'especially', u'regarding', u'plan', u'given']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'plan', u'measures', u'especially', u'given']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'measures', u'especially', u'plan', u'regarding', u'implemented']","[u'medicines', u'the', u'ensure', u'measures', u'whether', u'regarding', u'especially', u'intends', u'given', u'cost']","[u'medicines', u'the', u'ensure', u'especially', u'intends', u'measures', u'whether', u'regarding', u'increase', u'plan']","[u'medicines', u'the', u'ensure', u'whether', u'measures', u'especially', u'regarding', u'plan', u'intends', u'given']","[u'medicines', u'the', u'ensure', u'whether', u'measures', u'especially', u'intends', u'regarding', u'increase', u'cost']","[u'medicines', u'the', u'ensure', u'measures', u'intends', u'especially', u'whether', u'given', u'implemented', u'regarding']"
"[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'cost', u'implemented', u'regarding', u'plan']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'given', u'regarding', u'implemented', u'involved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'regarding', u'especially', u'given', u'involved', u'cost']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'whether', u'given', u'regarding', u'plans', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'regarding', u'especially', u'cost', u'implemented', u'given']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'regarding', u'cost', u'given', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'regarding', u'especially', u'plans', u'given', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'given', u'regarding', u'cost', u'plans']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'whether', u'cost', u'given', u'regarding', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'especially', u'cost', u'plans', u'regarding', u'given']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'regarding', u'given', u'cost', u'measures']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'regarding', u'given', u'implemented', u'plans']","[u'medicines', u'ensure', u'the', u'intends', u'especially', u'whether', u'regarding', u'cost', u'given', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'regarding', u'plans', u'especially', u'cost', u'given']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'regarding', u'implemented', u'plans', u'cost']","[u'medicines', u'ensure', u'the', u'intends', u'cost', u'whether', u'especially', u'regarding', u'given', u'including']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'regarding', u'implemented', u'plans', u'given']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'regarding', u'given', u'plans', u'implemented']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'cost', u'regarding', u'involved', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'especially', u'whether', u'given', u'implemented', u'regarding', u'cost']"
"[u'medicines', u'intends', u'the', u'especially', u'ensure', u'increase', u'measures', u'plan', u'whether', u'implemented']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'measures', u'given', u'increase', u'regarding']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'regarding', u'given', u'increase', u'measures']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'given', u'measures', u'regarding', u'increase']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'regarding', u'plan', u'implemented', u'given']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'regarding', u'measures', u'address', u'given']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'regarding', u'increase', u'given', u'measures']","[u'medicines', u'intends', u'the', u'especially', u'ensure', u'given', u'whether', u'plan', u'measures', u'regarding']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'increase', u'plan', u'given', u'measures']","[u'medicines', u'the', u'intends', u'especially', u'whether', u'ensure', u'measures', u'given', u'cost', u'plan']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'measures', u'whether', u'address', u'regarding', u'given']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'regarding', u'measures', u'given', u'implemented']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'measures', u'whether', u'given', u'regarding', u'implemented']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'regarding', u'plan', u'given', u'increase']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'measures', u'plan', u'implemented', u'regarding']","[u'medicines', u'the', u'intends', u'ensure', u'especially', u'whether', u'cost', u'measures', u'given', u'regarding']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'regarding', u'increase', u'measures', u'implemented']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'regarding', u'address', u'given', u'plan']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'cost', u'increase', u'regarding', u'measures']","[u'medicines', u'the', u'intends', u'especially', u'ensure', u'whether', u'measures', u'given', u'implemented', u'address']"
"[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'intends', u'measures', u'plan', u'especially', u'involved']","[u'medicines', u'ensure', u'the', u'whether', u'especially', u'implemented', u'involved', u'measures', u'intends', u'given']","[u'medicines', u'the', u'ensure', u'whether', u'involved', u'regarding', u'intends', u'implemented', u'given', u'measures']","[u'medicines', u'ensure', u'the', u'whether', u'involved', u'intends', u'especially', u'given', u'measures', u'regarding']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'regarding', u'plan', u'intends', u'measures', u'involved']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'involved', u'regarding', u'measures', u'intends', u'especially']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'regarding', u'implemented', u'involved', u'measures', u'given']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'given', u'especially', u'implemented', u'measures', u'plan']","[u'medicines', u'the', u'ensure', u'whether', u'implemented', u'especially', u'plan', u'intends', u'measures', u'given']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'measures', u'implemented', u'involved', u'especially', u'cost']","[u'medicines', u'the', u'ensure', u'whether', u'measures', u'intends', u'involved', u'especially', u'regarding', u'implemented']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'implemented', u'regarding', u'measures', u'involved', u'especially']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'intends', u'measures', u'involved', u'regarding', u'especially']","[u'medicines', u'ensure', u'the', u'whether', u'involved', u'regarding', u'intends', u'plan', u'implemented', u'given']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'intends', u'measures', u'especially', u'plan', u'regarding']","[u'medicines', u'ensure', u'the', u'whether', u'measures', u'implemented', u'involved', u'cost', u'regarding', u'given']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'especially', u'regarding', u'intends', u'measures', u'plan']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'regarding', u'involved', u'plan', u'especially', u'measures']","[u'medicines', u'ensure', u'the', u'whether', u'involved', u'implemented', u'especially', u'measures', u'cost', u'regarding']","[u'medicines', u'ensure', u'the', u'whether', u'implemented', u'intends', u'measures', u'especially', u'given', u'involved']"
"[u'medicines', u'intends', u'the', u'whether', u'ensure', u'given', u'implemented', u'regarding', u'plan', u'especially']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'given', u'regarding', u'especially', u'implemented', u'improve']","[u'medicines', u'the', u'whether', u'intends', u'ensure', u'regarding', u'given', u'implemented', u'used', u'following']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'given', u'regarding', u'used', u'especially', u'implemented']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'given', u'implemented', u'plan', u'build']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'regarding', u'given', u'implemented', u'especially', u'used']","[u'medicines', u'the', u'intends', u'ensure', u'whether', u'regarding', u'given', u'implemented', u'increase', u'improve']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'given', u'regarding', u'especially', u'implemented', u'plan']","[u'medicines', u'the', u'whether', u'intends', u'ensure', u'given', u'regarding', u'especially', u'implemented', u'plan']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'given', u'regarding', u'implemented', u'build', u'especially']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'given', u'especially', u'implemented', u'improve']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'regarding', u'given', u'implemented', u'especially', u'improve']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'given', u'implemented', u'plan', u'especially']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'given', u'used', u'plan', u'implemented']","[u'medicines', u'intends', u'the', u'whether', u'ensure', u'regarding', u'implemented', u'given', u'especially', u'plan']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'regarding', u'given', u'implemented', u'especially', u'cost']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'regarding', u'implemented', u'given', u'especially', u'used']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'regarding', u'given', u'implemented', u'improve', u'plan']","[u'medicines', u'the', u'ensure', u'whether', u'intends', u'regarding', u'implemented', u'especially', u'given', u'increase']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'given', u'regarding', u'implemented', u'especially', u'used']"
"[u'medicines', u'intends', u'ensure', u'especially', u'measures', u'given', u'whether', u'the', u'increase', u'cost']","[u'medicines', u'intends', u'ensure', u'especially', u'given', u'the', u'measures', u'whether', u'cost', u'implemented']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'given', u'especially', u'regarding', u'measures', u'cost']","[u'medicines', u'intends', u'ensure', u'given', u'the', u'especially', u'whether', u'measures', u'cost', u'plans']","[u'medicines', u'intends', u'ensure', u'the', u'given', u'whether', u'especially', u'measures', u'cost', u'implemented']","[u'medicines', u'intends', u'ensure', u'especially', u'given', u'whether', u'the', u'measures', u'cost', u'regarding']","[u'medicines', u'intends', u'ensure', u'whether', u'the', u'given', u'especially', u'cost', u'measures', u'regarding']","[u'medicines', u'intends', u'given', u'especially', u'ensure', u'whether', u'the', u'measures', u'cost', u'implemented']","[u'medicines', u'intends', u'especially', u'the', u'ensure', u'given', u'whether', u'measures', u'cost', u'increase']","[u'medicines', u'intends', u'ensure', u'whether', u'the', u'given', u'cost', u'especially', u'measures', u'plans']","[u'medicines', u'intends', u'ensure', u'the', u'measures', u'especially', u'whether', u'given', u'cost', u'regarding']","[u'medicines', u'intends', u'ensure', u'whether', u'especially', u'given', u'measures', u'the', u'regarding', u'cost']","[u'medicines', u'intends', u'ensure', u'the', u'given', u'measures', u'especially', u'whether', u'cost', u'implemented']","[u'medicines', u'intends', u'ensure', u'the', u'given', u'whether', u'cost', u'especially', u'regarding', u'measures']","[u'medicines', u'intends', u'ensure', u'whether', u'especially', u'measures', u'the', u'given', u'cost', u'implemented']","[u'medicines', u'intends', u'ensure', u'cost', u'the', u'given', u'especially', u'measures', u'whether', u'regarding']","[u'medicines', u'intends', u'ensure', u'especially', u'the', u'whether', u'given', u'measures', u'regarding', u'implemented']","[u'medicines', u'intends', u'ensure', u'given', u'whether', u'especially', u'the', u'measures', u'regarding', u'improve']","[u'medicines', u'intends', u'ensure', u'especially', u'whether', u'cost', u'the', u'measures', u'given', u'increase']","[u'medicines', u'intends', u'ensure', u'especially', u'given', u'the', u'measures', u'whether', u'implemented', u'improve']"
"[u'medicines', u'intends', u'ensure', u'given', u'implemented', u'whether', u'the', u'regarding', u'especially', u'measures']","[u'medicines', u'ensure', u'intends', u'given', u'the', u'whether', u'implemented', u'regarding', u'especially', u'including']","[u'medicines', u'ensure', u'intends', u'regarding', u'the', u'given', u'whether', u'implemented', u'especially', u'including']","[u'medicines', u'ensure', u'intends', u'the', u'given', u'whether', u'regarding', u'especially', u'implemented', u'plans']","[u'medicines', u'ensure', u'intends', u'the', u'regarding', u'given', u'implemented', u'whether', u'especially', u'including']","[u'medicines', u'ensure', u'intends', u'regarding', u'given', u'the', u'implemented', u'whether', u'especially', u'involved']","[u'medicines', u'ensure', u'intends', u'regarding', u'whether', u'the', u'given', u'implemented', u'plans', u'especially']","[u'medicines', u'intends', u'ensure', u'given', u'the', u'whether', u'regarding', u'especially', u'implemented', u'reduce']","[u'medicines', u'ensure', u'the', u'intends', u'given', u'whether', u'regarding', u'implemented', u'especially', u'plans']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'given', u'regarding', u'implemented', u'especially', u'plans']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'regarding', u'given', u'especially', u'implemented', u'measures']","[u'medicines', u'ensure', u'intends', u'regarding', u'whether', u'given', u'the', u'implemented', u'especially', u'including']","[u'medicines', u'ensure', u'the', u'intends', u'given', u'regarding', u'implemented', u'whether', u'especially', u'measures']","[u'medicines', u'ensure', u'intends', u'regarding', u'the', u'given', u'whether', u'implemented', u'plans', u'especially']","[u'medicines', u'ensure', u'intends', u'whether', u'implemented', u'the', u'regarding', u'given', u'especially', u'plans']","[u'medicines', u'ensure', u'the', u'given', u'regarding', u'intends', u'whether', u'implemented', u'including', u'especially']","[u'medicines', u'ensure', u'intends', u'regarding', u'the', u'whether', u'implemented', u'given', u'especially', u'status']","[u'medicines', u'ensure', u'given', u'intends', u'whether', u'the', u'regarding', u'implemented', u'especially', u'plans']","[u'medicines', u'ensure', u'whether', u'intends', u'the', u'regarding', u'implemented', u'especially', u'given', u'including']","[u'medicines', u'ensure', u'intends', u'the', u'given', u'implemented', u'whether', u'regarding', u'especially', u'measures']"
"[u'medicines', u'intends', u'ensure', u'plan', u'the', u'whether', u'especially', u'improve', u'measures', u'given']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'improve', u'especially', u'plan', u'given', u'measures']","[u'medicines', u'the', u'ensure', u'intends', u'whether', u'improve', u'given', u'especially', u'plan', u'involved']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'given', u'plan', u'improve', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'plan', u'whether', u'improve', u'cost', u'given', u'especially']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'plan', u'cost', u'measures', u'given']","[u'medicines', u'ensure', u'intends', u'the', u'whether', u'improve', u'plan', u'especially', u'given', u'cost']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'plan', u'especially', u'given', u'cost', u'improve']","[u'medicines', u'the', u'ensure', u'whether', u'plan', u'intends', u'especially', u'given', u'cost', u'improve']","[u'medicines', u'the', u'intends', u'whether', u'ensure', u'plan', u'cost', u'especially', u'improve', u'measures']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'measures', u'especially', u'improve', u'plan', u'cost']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'especially', u'improve', u'plan', u'given', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'plan', u'especially', u'improve', u'measures', u'cost']","[u'medicines', u'ensure', u'the', u'intends', u'plan', u'whether', u'improve', u'given', u'cost', u'especially']","[u'medicines', u'ensure', u'intends', u'whether', u'the', u'plan', u'especially', u'improve', u'measures', u'cost']","[u'medicines', u'ensure', u'the', u'whether', u'cost', u'intends', u'plan', u'especially', u'given', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'plan', u'improve', u'given', u'implemented']","[u'medicines', u'ensure', u'the', u'whether', u'plan', u'intends', u'improve', u'especially', u'given', u'measures']","[u'medicines', u'ensure', u'the', u'whether', u'intends', u'cost', u'especially', u'improve', u'plan', u'measures']","[u'medicines', u'ensure', u'the', u'intends', u'whether', u'especially', u'improve', u'plan', u'given', u'measures']"
"[u'medicines', u'intends', u'ensure', u'the', u'whether', u'given', u'regarding', u'increase', u'especially', u'implemented']","[u'medicines', u'ensure', u'intends', u'the', u'regarding', u'whether', u'given', u'involved', u'especially', u'including']","[u'medicines', u'intends', u'the', u'ensure', u'regarding', u'whether', u'given', u'involved', u'including', u'increase']","[u'medicines', u'ensure', u'the', u'intends', u'regarding', u'given', u'whether', u'involved', u'especially', u'including']","[u'medicines', u'ensure', u'the', u'intends', u'regarding', u'whether', u'given', u'including', u'implemented', u'involved']","[u'medicines', u'ensure', u'intends', u'regarding', u'the', u'whether', u'given', u'involved', u'especially', u'implemented']","[u'medicines', u'ensure', u'intends', u'regarding', u'the', u'whether', u'given', u'involved', u'increase', u'including']","[u'medicines', u'intends', u'ensure', u'the', u'given', u'regarding', u'whether', u'especially', u'involved', u'implemented']","[u'medicines', u'the', u'intends', u'ensure', u'regarding', u'whether', u'given', u'increase', u'especially', u'involved']","[u'medicines', u'intends', u'the', u'ensure', u'whether', u'regarding', u'given', u'involved', u'cost', u'especially']","[u'medicines', u'ensure', u'the', u'intends', u'regarding', u'whether', u'given', u'involved', u'especially', u'measures']","[u'medicines', u'ensure', u'intends', u'regarding', u'whether', u'the', u'given', u'involved', u'especially', u'including']","[u'medicines', u'ensure', u'the', u'intends', u'regarding', u'whether', u'given', u'involved', u'implemented', u'especially']","[u'medicines', u'ensure', u'intends', u'the', u'regarding', u'whether', u'given', u'involved', u'including', u'increase']","[u'medicines', u'intends', u'ensure', u'the', u'whether', u'regarding', u'given', u'especially', u'implemented', u'increase']","[u'medicines', u'the', u'ensure', u'regarding', u'intends', u'given', u'whether', u'including', u'involved', u'cost']","[u'medicines', u'ensure', u'intends', u'the', u'regarding', u'whether', u'given', u'especially', u'increase', u'implemented']","[u'medicines', u'ensure', u'the', u'intends', u'regarding', u'whether', u'given', u'involved', u'especially', u'implemented']","[u'medicines', u'ensure', u'the', u'intends', u'regarding', u'whether', u'involved', u'given', u'including', u'increase']","[u'medicines', u'ensure', u'intends', u'the', u'given', u'regarding', u'whether', u'especially', u'implemented', u'including']"
