"[u'expressway', u'besi', u'baja', u'hobi', u'biar', u'kawal', u'kuku', u'selagi', u'tani', u'gugat']","[u'daftar', u'buntar', u'imigresen', u'pergola', u'aras', u'konsultan', u'pasifik', u'langgar', u'2014', u'setem']","[u'damansara', u'menggerimander', u'putra', u'faktor', u'britain', u'dimanafaatkan', u'kidex', u'teluk', u'rasminya', u'automatik']","[u'up', u'statut', u'bolos', u'menara', u'papar', u'maksimum', u'utara', u'ctos', u'cheap', u'kapasiti']","[u'punggah', u'teraba', u'tagih', u'lalu', u'tunggal', u'obama', u'sudi', u'buloh', u'wee', u'web']","[u'impak', u'kidex', u'unhcr', u'semenanjung', u'24th', u'jimat', u'poyan', u'jpj', u'generasi', u'become']","[u'hospital', u'ic', u'silap', u'rm3235', u'sms', u'dar', u'jkr', u'poket', u'royal', u'iraq']","[u'business', u'dividen', u'es', u'blok', u'unified', u'koroner', u'sebar', u'tahfiz', u'asasi', u'republik']","[u'buloh', u'enhance', u'menteri', u'graduan', u'epf', u'ipts', u'masing', u'ranking', u'ecer', u'medamit']","[u'manipulasi', u'pangkin', u'timbang', u'terminal', u'jemput', u'status', u'ekang', u'src', u'kebal', u'kontinjen']","[u'gambar', u'lonjak', u'kuat', u'muda', u'keramat', u'kwsp', u'langsai', u'kontijen', u'peperiksaan', u'am']","[u'kakisan', u'rm20', u'any', u'runtuh', u'terang', u'kanak', u'pakai', u'tra', u'kaum', u'complaints']","[u'lee', u'hemodialisis', u'golak', u'terbit', u'rm39592', u'lawat', u'hujan', u'proviso', u'spnb', u'ranking']","[u'sempat', u'kenyataankenyataan', u'tv', u'ronda', u'kulasegaran', u'siapa', u'staus', u'integrity', u'maruah', u'great']","[u'pokok', u'plus', u'feri', u'seminar', u'gera', u'patut', u'muncul', u'tahak', u'lahir', u'gelak']","[u'sop', u'ukur', u'membanteras', u'bela', u'ali', u'siti', u'tenusu', u'mckinsey', u'committee', u'halus']","[u'rcep', u'jheoa', u'sikap', u'jatuh', u'sea', u'konservasi', u'belanjawan', u'arab', u'tech', u'moratorium']","[u'positif', u'1948', u'rm300', u'fasiliti', u'parang', u'askar', u'kabut', u'bayan', u'2011', u'pindah']","[u'mesra', u'kamar', u'misi', u'politeknik', u'banci', u'ketidakselesaan', u'azizulhasni', u'stabil', u'sms', u'kebaji']","[u'wajib', u'kafe', u'off', u'trans', u'koperal', u'imej', u'poca', u'wakaf', u'road', u'individu']"
"[u'senario', u'tetap', u'sekolah', u'sabah', u'ajar', u'laksana', u'tangan', u'kaum', u'status', u'sarawak']","[u'senario', u'tetap', u'laksana', u'sabah', u'ajar', u'tangan', u'bekal', u'sekolah', u'status', u'akibat']","[u'senario', u'tetap', u'sabah', u'ajar', u'sekolah', u'laksana', u'tangan', u'status', u'sosial', u'bekal']","[u'senario', u'tetap', u'laksana', u'sabah', u'tangan', u'ajar', u'sekolah', u'bekal', u'status', u'nilai']","[u'senario', u'laksana', u'sabah', u'tetap', u'sekolah', u'bekal', u'ajar', u'status', u'sarawak', u'tangan']","[u'senario', u'sabah', u'tetap', u'laksana', u'sekolah', u'ajar', u'tangan', u'status', u'sosial', u'nilai']","[u'senario', u'tetap', u'sabah', u'laksana', u'sekolah', u'ajar', u'status', u'tangan', u'sarawak', u'sosial']","[u'senario', u'tetap', u'sabah', u'laksana', u'sekolah', u'status', u'bekal', u'ajar', u'tangan', u'nilai']","[u'senario', u'sekolah', u'laksana', u'sabah', u'tetap', u'ajar', u'tangan', u'status', u'bekal', u'sarawak']","[u'senario', u'laksana', u'sabah', u'tetap', u'status', u'sekolah', u'ajar', u'sarawak', u'sosial', u'tangan']","[u'senario', u'sabah', u'tetap', u'laksana', u'sekolah', u'ajar', u'status', u'sarawak', u'agama', u'tangan']","[u'senario', u'sabah', u'tetap', u'laksana', u'sekolah', u'ajar', u'status', u'sosial', u'tangan', u'bekal']","[u'senario', u'sabah', u'tetap', u'sekolah', u'laksana', u'bekal', u'ajar', u'tangan', u'status', u'sarawak']","[u'senario', u'tetap', u'sabah', u'ajar', u'laksana', u'tangan', u'sekolah', u'bekal', u'agama', u'nilai']","[u'senario', u'tetap', u'laksana', u'sabah', u'ajar', u'sekolah', u'tangan', u'sosial', u'status', u'agama']","[u'senario', u'tetap', u'laksana', u'sabah', u'sekolah', u'ajar', u'status', u'tangan', u'bekal', u'agama']","[u'senario', u'tetap', u'sabah', u'ajar', u'laksana', u'tangan', u'sekolah', u'nilai', u'status', u'sarawak']","[u'senario', u'sabah', u'tetap', u'ajar', u'laksana', u'sekolah', u'tangan', u'sarawak', u'bekal', u'status']","[u'senario', u'tetap', u'sabah', u'ajar', u'laksana', u'sekolah', u'tangan', u'bekal', u'status', u'sarawak']","[u'senario', u'tetap', u'sabah', u'laksana', u'sekolah', u'ajar', u'tangan', u'nilai', u'status', u'bekal']"
"[u'senario', u'sabah', u'tetap', u'laksana', u'sarawak', u'kesan', u'tangan', u'sekolah', u'ajar', u'libat']","[u'senario', u'laksana', u'tetap', u'tangan', u'sabah', u'kesan', u'libat', u'tuju', u'ajar', u'sarawak']","[u'senario', u'sabah', u'laksana', u'tangan', u'kesan', u'libat', u'tetap', u'ajar', u'sarawak', u'status']","[u'senario', u'tetap', u'laksana', u'tangan', u'sabah', u'kesan', u'libat', u'sarawak', u'1mdb', u'ajar']","[u'senario', u'laksana', u'sabah', u'sarawak', u'status', u'libat', u'kesan', u'tetap', u'ajar', u'sekolah']","[u'senario', u'sabah', u'laksana', u'sarawak', u'tangan', u'tetap', u'tuju', u'status', u'kesan', u'ajar']","[u'senario', u'sabah', u'laksana', u'tetap', u'sarawak', u'libat', u'tangan', u'status', u'1mdb', u'kesan']","[u'senario', u'sabah', u'laksana', u'tetap', u'sarawak', u'kesan', u'tangan', u'status', u'tuju', u'kaji']","[u'senario', u'laksana', u'sabah', u'sarawak', u'tangan', u'sekolah', u'kesan', u'ajar', u'status', u'tetap']","[u'senario', u'laksana', u'sabah', u'sarawak', u'kesan', u'status', u'libat', u'tangan', u'arak', u'tetap']","[u'senario', u'sabah', u'laksana', u'sarawak', u'status', u'tangan', u'tetap', u'libat', u'kesan', u'ajar']","[u'senario', u'sabah', u'laksana', u'kesan', u'sarawak', u'tangan', u'libat', u'tetap', u'status', u'akibat']","[u'senario', u'sabah', u'laksana', u'tetap', u'kesan', u'tangan', u'sarawak', u'status', u'ajar', u'sekolah']","[u'senario', u'sabah', u'laksana', u'tetap', u'tangan', u'sarawak', u'ajar', u'libat', u'kesan', u'nilai']","[u'senario', u'sabah', u'laksana', u'tetap', u'tangan', u'kesan', u'sarawak', u'ajar', u'libat', u'status']","[u'senario', u'laksana', u'sabah', u'tetap', u'tangan', u'kesan', u'sarawak', u'kaji', u'status', u'ajar']","[u'senario', u'sabah', u'laksana', u'tetap', u'tangan', u'sarawak', u'kesan', u'ajar', u'libat', u'1mdb']","[u'senario', u'sabah', u'laksana', u'sarawak', u'kesan', u'libat', u'tangan', u'tetap', u'serius', u'kaji']","[u'senario', u'sabah', u'laksana', u'tetap', u'tangan', u'libat', u'sarawak', u'kesan', u'serius', u'ajar']","[u'senario', u'laksana', u'sabah', u'tangan', u'tetap', u'kesan', u'ajar', u'sarawak', u'nilai', u'sekolah']"
"[u'senario', u'tetap', u'sekolah', u'ajar', u'sabah', u'agama', u'sarawak', u'kaum', u'kesan', u'akibat']","[u'senario', u'tetap', u'ajar', u'sabah', u'sekolah', u'agama', u'tangan', u'akibat', u'kesan', u'laksana']","[u'senario', u'tetap', u'ajar', u'sekolah', u'sabah', u'laksana', u'tangan', u'agama', u'sarawak', u'kenal']","[u'senario', u'tetap', u'ajar', u'sekolah', u'sabah', u'tangan', u'akibat', u'laksana', u'sarawak', u'agama']","[u'senario', u'tetap', u'ajar', u'sekolah', u'sabah', u'laksana', u'sarawak', u'status', u'agama', u'kesan']","[u'senario', u'tetap', u'sabah', u'ajar', u'sekolah', u'agama', u'sarawak', u'tangan', u'sosial', u'akibat']","[u'senario', u'tetap', u'sabah', u'ajar', u'sekolah', u'agama', u'sarawak', u'laksana', u'akibat', u'tangan']","[u'senario', u'tetap', u'sabah', u'ajar', u'sekolah', u'sarawak', u'laksana', u'agama', u'kesan', u'status']","[u'senario', u'tetap', u'sekolah', u'ajar', u'sabah', u'laksana', u'sarawak', u'agama', u'kesan', u'tangan']","[u'senario', u'tetap', u'sabah', u'ajar', u'laksana', u'sekolah', u'sarawak', u'akibat', u'agama', u'kesan']","[u'senario', u'sabah', u'tetap', u'ajar', u'sekolah', u'sarawak', u'agama', u'laksana', u'tangan', u'status']","[u'senario', u'tetap', u'sabah', u'sekolah', u'ajar', u'agama', u'kesan', u'sarawak', u'akibat', u'laksana']","[u'senario', u'tetap', u'sabah', u'sekolah', u'ajar', u'agama', u'laksana', u'kesan', u'sarawak', u'kenal']","[u'senario', u'tetap', u'ajar', u'sabah', u'agama', u'sekolah', u'sarawak', u'tangan', u'laksana', u'akibat']","[u'senario', u'tetap', u'ajar', u'sabah', u'sekolah', u'agama', u'sarawak', u'akibat', u'tangan', u'laksana']","[u'senario', u'tetap', u'ajar', u'sekolah', u'agama', u'sabah', u'laksana', u'kesan', u'akibat', u'sarawak']","[u'senario', u'tetap', u'sabah', u'ajar', u'sekolah', u'agama', u'sarawak', u'tangan', u'laksana', u'kenal']","[u'senario', u'tetap', u'ajar', u'sabah', u'sekolah', u'sarawak', u'kesan', u'agama', u'tangan', u'laksana']","[u'senario', u'tetap', u'ajar', u'sabah', u'sekolah', u'tangan', u'agama', u'sarawak', u'akibat', u'laksana']","[u'senario', u'tetap', u'ajar', u'sekolah', u'sabah', u'agama', u'laksana', u'akibat', u'tangan', u'kesan']"
"[u'senario', u'sekolah', u'tetap', u'ajar', u'laksana', u'sabah', u'jauh', u'libat', u'kaum', u'tangan']","[u'senario', u'tetap', u'sekolah', u'ajar', u'laksana', u'jauh', u'libat', u'tangan', u'sabah', u'kesan']","[u'senario', u'sekolah', u'ajar', u'laksana', u'tetap', u'jauh', u'libat', u'sabah', u'kenal', u'rancang']","[u'senario', u'tetap', u'sekolah', u'ajar', u'laksana', u'jauh', u'libat', u'tangan', u'sabah', u'lulus']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tetap', u'jauh', u'wujud', u'libat', u'sabah', u'rancang']","[u'senario', u'sekolah', u'tetap', u'ajar', u'jauh', u'sabah', u'laksana', u'tangan', u'libat', u'tuju']","[u'senario', u'sekolah', u'tetap', u'laksana', u'ajar', u'libat', u'sabah', u'jauh', u'lembaga', u'lulus']","[u'senario', u'tetap', u'sekolah', u'laksana', u'jauh', u'sabah', u'ajar', u'libat', u'status', u'kenal']","[u'senario', u'sekolah', u'ajar', u'laksana', u'jauh', u'tetap', u'libat', u'sabah', u'kenal', u'wujud']","[u'senario', u'laksana', u'sekolah', u'ajar', u'jauh', u'tetap', u'sabah', u'libat', u'status', u'wujud']","[u'senario', u'sekolah', u'ajar', u'tetap', u'jauh', u'sabah', u'laksana', u'libat', u'lembaga', u'sarawak']","[u'senario', u'sekolah', u'laksana', u'tetap', u'ajar', u'sabah', u'jauh', u'libat', u'kesan', u'tangan']","[u'senario', u'sekolah', u'tetap', u'ajar', u'laksana', u'jauh', u'sabah', u'kenal', u'libat', u'tangan']","[u'senario', u'ajar', u'sekolah', u'tetap', u'laksana', u'libat', u'sabah', u'jauh', u'tangan', u'kenal']","[u'senario', u'sekolah', u'tetap', u'ajar', u'laksana', u'sabah', u'jauh', u'libat', u'tangan', u'kenal']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tetap', u'jauh', u'sabah', u'libat', u'kenal', u'kaji']","[u'senario', u'sekolah', u'tetap', u'ajar', u'sabah', u'jauh', u'laksana', u'tangan', u'kenal', u'libat']","[u'senario', u'sekolah', u'ajar', u'tetap', u'jauh', u'laksana', u'libat', u'sabah', u'kenal', u'tangan']","[u'senario', u'sekolah', u'tetap', u'ajar', u'libat', u'laksana', u'sabah', u'jauh', u'tangan', u'lembaga']","[u'senario', u'sekolah', u'ajar', u'tetap', u'laksana', u'jauh', u'sabah', u'tangan', u'libat', u'kenal']"
"[u'senario', u'sekolah', u'tetap', u'kaum', u'sarawak', u'sabah', u'senarai', u'ajar', u'laksana', u'tangan']","[u'senario', u'tetap', u'sekolah', u'tangan', u'bekal', u'laksana', u'tuju', u'senarai', u'ajar', u'sabah']","[u'senario', u'sekolah', u'tetap', u'tangan', u'ajar', u'laksana', u'sabah', u'bekal', u'senarai', u'sarawak']","[u'senario', u'tetap', u'sekolah', u'tangan', u'senarai', u'bekal', u'sarawak', u'ajar', u'nilai', u'sabah']","[u'senario', u'sekolah', u'tetap', u'bekal', u'laksana', u'sarawak', u'sabah', u'senarai', u'belanja', u'ajar']","[u'senario', u'tetap', u'sekolah', u'tuju', u'sabah', u'sarawak', u'senarai', u'tangan', u'nilai', u'ajar']","[u'senario', u'tetap', u'sekolah', u'sarawak', u'senarai', u'sabah', u'laksana', u'libat', u'kaum', u'tangan']","[u'senario', u'tetap', u'sekolah', u'senarai', u'laksana', u'sabah', u'bekal', u'sarawak', u'tuju', u'kaji']","[u'senario', u'sekolah', u'tetap', u'laksana', u'sarawak', u'ajar', u'sabah', u'senarai', u'nilai', u'bekal']","[u'senario', u'sekolah', u'tetap', u'laksana', u'sarawak', u'sabah', u'senarai', u'kaum', u'tuju', u'bekal']","[u'senario', u'sekolah', u'tetap', u'sarawak', u'sabah', u'senarai', u'laksana', u'bekal', u'ajar', u'tangan']","[u'senario', u'sekolah', u'tetap', u'sabah', u'sarawak', u'laksana', u'senarai', u'bekal', u'tangan', u'libat']","[u'senario', u'sekolah', u'tetap', u'bekal', u'sabah', u'laksana', u'sarawak', u'tangan', u'ajar', u'nilai']","[u'senario', u'tetap', u'sekolah', u'senarai', u'sarawak', u'ajar', u'tangan', u'sabah', u'laksana', u'nilai']","[u'senario', u'sekolah', u'tetap', u'sarawak', u'kaum', u'sabah', u'laksana', u'ajar', u'tangan', u'tuju']","[u'senario', u'sekolah', u'tetap', u'kaum', u'laksana', u'belanja', u'senarai', u'bekal', u'tuju', u'sarawak']","[u'senario', u'tetap', u'sekolah', u'sabah', u'tangan', u'sarawak', u'ajar', u'nilai', u'laksana', u'bekal']","[u'senario', u'sekolah', u'tetap', u'senarai', u'sarawak', u'belanja', u'sabah', u'ajar', u'tangan', u'laksana']","[u'senario', u'tetap', u'sekolah', u'tangan', u'sabah', u'bekal', u'sarawak', u'libat', u'laksana', u'senarai']","[u'senario', u'sekolah', u'tetap', u'nilai', u'sabah', u'laksana', u'tangan', u'sarawak', u'ajar', u'senarai']"
"[u'senario', u'sekolah', u'laksana', u'ajar', u'kaum', u'lembaga', u'guru', u'tangan', u'murid', u'agama']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'libat', u'lembaga', u'tetap', u'guru', u'senarai']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'guru', u'libat', u'senarai', u'lembaga', u'jauh']","[u'senario', u'sekolah', u'tangan', u'laksana', u'tetap', u'ajar', u'senarai', u'libat', u'jenayah', u'bayar']","[u'senario', u'sekolah', u'laksana', u'ajar', u'wujud', u'senarai', u'guru', u'lembaga', u'status', u'libat']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'lembaga', u'senarai', u'agama', u'guru', u'sabah']","[u'senario', u'sekolah', u'laksana', u'lembaga', u'libat', u'ajar', u'tangan', u'senarai', u'tetap', u'sabah']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'lembaga', u'senarai', u'status', u'guru', u'bayar']","[u'senario', u'sekolah', u'laksana', u'ajar', u'guru', u'libat', u'bayar', u'senarai', u'tangan', u'lembaga']","[u'senario', u'sekolah', u'laksana', u'ajar', u'guru', u'lembaga', u'bayar', u'senarai', u'tangan', u'status']","[u'senario', u'sekolah', u'laksana', u'lembaga', u'ajar', u'senarai', u'sabah', u'libat', u'bayar', u'tangan']","[u'senario', u'sekolah', u'laksana', u'ajar', u'lembaga', u'libat', u'tangan', u'kesan', u'senarai', u'sabah']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'ubat', u'bayar', u'guru', u'lembaga', u'tetap']","[u'senario', u'sekolah', u'ajar', u'laksana', u'lembaga', u'senarai', u'tangan', u'libat', u'agama', u'tetap']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'tetap', u'guru', u'bayar', u'libat', u'agama']","[u'senario', u'sekolah', u'laksana', u'ajar', u'guru', u'agama', u'senarai', u'kaum', u'lembaga', u'tangan']","[u'senario', u'sekolah', u'ajar', u'laksana', u'tangan', u'tetap', u'libat', u'guru', u'sabah', u'lembaga']","[u'senario', u'sekolah', u'ajar', u'laksana', u'senarai', u'libat', u'guru', u'tangan', u'lembaga', u'kesan']","[u'senario', u'sekolah', u'laksana', u'ajar', u'lembaga', u'tangan', u'libat', u'tetap', u'jenayah', u'bayar']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tangan', u'guru', u'bayar', u'agama', u'senarai', u'libat']"
"[u'senario', u'laksana', u'sekolah', u'sabah', u'kaum', u'tetap', u'tuju', u'sarawak', u'kenal', u'ajar']","[u'senario', u'laksana', u'sabah', u'tetap', u'sekolah', u'tuju', u'belanja', u'bekal', u'ajar', u'kesan']","[u'senario', u'laksana', u'sekolah', u'sabah', u'kenal', u'ajar', u'tetap', u'bekal', u'sarawak', u'rancang']","[u'senario', u'laksana', u'tetap', u'sekolah', u'sabah', u'belanja', u'tuju', u'nilai', u'ajar', u'sarawak']","[u'senario', u'laksana', u'sekolah', u'sabah', u'bekal', u'belanja', u'sarawak', u'status', u'tetap', u'kenal']","[u'senario', u'laksana', u'tuju', u'sabah', u'sekolah', u'tetap', u'belanja', u'sarawak', u'kenal', u'nilai']","[u'senario', u'laksana', u'sabah', u'sekolah', u'tetap', u'sarawak', u'belanja', u'kaum', u'tuju', u'libat']","[u'senario', u'laksana', u'sekolah', u'sabah', u'kenal', u'tuju', u'belanja', u'tetap', u'sarawak', u'status']","[u'senario', u'laksana', u'sekolah', u'sabah', u'sarawak', u'ajar', u'kenal', u'belanja', u'tetap', u'status']","[u'senario', u'laksana', u'sabah', u'sekolah', u'tuju', u'sarawak', u'belanja', u'tetap', u'status', u'tahan']","[u'senario', u'laksana', u'sabah', u'sekolah', u'sarawak', u'tuju', u'tetap', u'ajar', u'kenal', u'belanja']","[u'senario', u'laksana', u'sabah', u'sekolah', u'sarawak', u'bekal', u'kesan', u'belanja', u'tetap', u'tuju']","[u'senario', u'laksana', u'sekolah', u'sabah', u'kenal', u'bekal', u'tetap', u'sarawak', u'belanja', u'ajar']","[u'senario', u'laksana', u'sabah', u'sekolah', u'sarawak', u'tetap', u'ajar', u'kenal', u'nilai', u'belanja']","[u'senario', u'laksana', u'sekolah', u'sabah', u'sarawak', u'tetap', u'tuju', u'ajar', u'kaum', u'belanja']","[u'senario', u'laksana', u'sekolah', u'sabah', u'belanja', u'tuju', u'kaum', u'sarawak', u'tetap', u'bekal']","[u'senario', u'laksana', u'sabah', u'sekolah', u'tetap', u'kenal', u'sarawak', u'ajar', u'nilai', u'tangan']","[u'senario', u'laksana', u'sekolah', u'sabah', u'belanja', u'sarawak', u'kenal', u'tuju', u'ajar', u'tetap']","[u'senario', u'laksana', u'sekolah', u'sabah', u'tetap', u'sarawak', u'tuju', u'bekal', u'ajar', u'belanja']","[u'senario', u'laksana', u'sekolah', u'sabah', u'nilai', u'kenal', u'belanja', u'tuju', u'ajar', u'tetap']"
"[u'senario', u'sekolah', u'tetap', u'ajar', u'laksana', u'sabah', u'tangan', u'kesan', u'sarawak', u'wujud']","[u'senario', u'tetap', u'tangan', u'sekolah', u'laksana', u'ajar', u'kesan', u'sabah', u'libat', u'industri']","[u'senario', u'sekolah', u'ajar', u'tetap', u'tangan', u'laksana', u'sabah', u'kesan', u'libat', u'sarawak']","[u'senario', u'tetap', u'sekolah', u'ajar', u'tangan', u'laksana', u'sabah', u'kesan', u'sarawak', u'libat']","[u'senario', u'laksana', u'sekolah', u'tetap', u'wujud', u'sabah', u'ajar', u'sarawak', u'tangan', u'kesan']","[u'senario', u'tetap', u'sekolah', u'sabah', u'ajar', u'tangan', u'laksana', u'sarawak', u'kesan', u'tuju']","[u'senario', u'tetap', u'sekolah', u'laksana', u'sabah', u'tangan', u'ajar', u'sarawak', u'libat', u'wujud']","[u'senario', u'tetap', u'sekolah', u'laksana', u'ajar', u'tangan', u'sabah', u'kesan', u'sarawak', u'wujud']","[u'senario', u'sekolah', u'laksana', u'ajar', u'tetap', u'sarawak', u'sabah', u'kesan', u'tangan', u'wujud']","[u'senario', u'laksana', u'sekolah', u'tetap', u'ajar', u'sabah', u'kesan', u'sarawak', u'tangan', u'wujud']","[u'senario', u'sekolah', u'sabah', u'tetap', u'ajar', u'laksana', u'sarawak', u'wujud', u'tangan', u'kesan']","[u'senario', u'sekolah', u'tetap', u'sabah', u'kesan', u'laksana', u'ajar', u'tangan', u'sarawak', u'wujud']","[u'senario', u'sekolah', u'tetap', u'ajar', u'laksana', u'sabah', u'tangan', u'kesan', u'wujud', u'sarawak']","[u'senario', u'tetap', u'ajar', u'sekolah', u'tangan', u'sabah', u'laksana', u'sarawak', u'wujud', u'kesan']","[u'senario', u'tetap', u'sekolah', u'ajar', u'laksana', u'sabah', u'tangan', u'sarawak', u'wujud', u'kesan']","[u'senario', u'sekolah', u'laksana', u'tetap', u'ajar', u'sabah', u'tangan', u'kesan', u'sarawak', u'wujud']","[u'senario', u'tetap', u'sabah', u'tangan', u'sekolah', u'ajar', u'laksana', u'kesan', u'sarawak', u'wujud']","[u'senario', u'sekolah', u'tetap', u'ajar', u'laksana', u'kesan', u'sabah', u'sarawak', u'tangan', u'wujud']","[u'senario', u'tetap', u'sekolah', u'ajar', u'tangan', u'sabah', u'laksana', u'sarawak', u'kesan', u'libat']","[u'senario', u'sekolah', u'tetap', u'laksana', u'ajar', u'tangan', u'sabah', u'kesan', u'sarawak', u'akibat']"
"[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'sekolah', u'laksana', u'kaum', u'kesan', u'agama']","[u'senario', u'sabah', u'tetap', u'sarawak', u'laksana', u'bekal', u'senarai', u'tangan', u'kesan', u'banjir']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'banjir', u'bekal', u'sekolah', u'tangan', u'laksana']","[u'senario', u'tetap', u'sabah', u'sarawak', u'senarai', u'bekal', u'tangan', u'laksana', u'nilai', u'sekolah']","[u'senario', u'sabah', u'sarawak', u'tetap', u'bekal', u'laksana', u'senarai', u'status', u'banjir', u'belanja']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'tuju', u'agama', u'banjir', u'laksana', u'tangan']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'laksana', u'banjir', u'libat', u'siasat', u'akibat']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'laksana', u'bekal', u'status', u'tangan', u'banjir']","[u'senario', u'sarawak', u'sabah', u'tetap', u'laksana', u'senarai', u'sekolah', u'kesan', u'status', u'libat']","[u'senario', u'sabah', u'sarawak', u'laksana', u'tetap', u'senarai', u'status', u'siasat', u'bekal', u'kesan']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'laksana', u'sekolah', u'bekal', u'agama', u'status']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'bekal', u'kesan', u'banjir', u'laksana', u'siasat']","[u'senario', u'sabah', u'sarawak', u'tetap', u'bekal', u'laksana', u'sekolah', u'kesan', u'senarai', u'banjir']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'laksana', u'siasat', u'banjir', u'agama', u'nilai']","[u'senario', u'sabah', u'sarawak', u'tetap', u'laksana', u'sekolah', u'senarai', u'banjir', u'status', u'siasat']","[u'senario', u'sabah', u'sarawak', u'tetap', u'laksana', u'senarai', u'bekal', u'siasat', u'sekolah', u'agama']","[u'senario', u'sabah', u'sarawak', u'tetap', u'laksana', u'tangan', u'siasat', u'kesan', u'senarai', u'nilai']","[u'senario', u'sarawak', u'sabah', u'senarai', u'tetap', u'bekal', u'laksana', u'siasat', u'belanja', u'kesan']","[u'senario', u'sabah', u'sarawak', u'tetap', u'senarai', u'bekal', u'laksana', u'tangan', u'sekolah', u'status']","[u'senario', u'sabah', u'sarawak', u'tetap', u'sekolah', u'laksana', u'senarai', u'nilai', u'tangan', u'kesan']"
"[u'senario', u'ajar', u'sekolah', u'sabah', u'tetap', u'kaum', u'wujud', u'laksana', u'libat', u'agama']","[u'senario', u'ajar', u'tetap', u'sabah', u'sekolah', u'bekal', u'libat', u'wujud', u'laksana', u'belanja']","[u'senario', u'ajar', u'sekolah', u'sabah', u'tetap', u'wujud', u'bekal', u'libat', u'kaum', u'agama']","[u'senario', u'ajar', u'tetap', u'sekolah', u'sabah', u'bekal', u'wujud', u'libat', u'tangan', u'laksana']","[u'senario', u'ajar', u'wujud', u'sabah', u'bekal', u'sekolah', u'tetap', u'laksana', u'status', u'libat']","[u'senario', u'sabah', u'ajar', u'tetap', u'sekolah', u'wujud', u'agama', u'bekal', u'tuju', u'kaum']","[u'senario', u'ajar', u'sabah', u'tetap', u'wujud', u'sekolah', u'libat', u'laksana', u'lulus', u'kaum']","[u'senario', u'ajar', u'sabah', u'sekolah', u'tetap', u'wujud', u'laksana', u'bekal', u'status', u'libat']","[u'senario', u'ajar', u'sekolah', u'sabah', u'wujud', u'tetap', u'laksana', u'libat', u'status', u'bekal']","[u'senario', u'ajar', u'sabah', u'sekolah', u'wujud', u'laksana', u'tetap', u'status', u'bekal', u'mati']","[u'senario', u'ajar', u'sabah', u'sekolah', u'wujud', u'tetap', u'laksana', u'libat', u'bekal', u'agama']","[u'senario', u'ajar', u'sabah', u'sekolah', u'wujud', u'tetap', u'bekal', u'libat', u'kaum', u'agama']","[u'senario', u'ajar', u'sabah', u'sekolah', u'wujud', u'bekal', u'tetap', u'laksana', u'ubat', u'status']","[u'senario', u'ajar', u'sabah', u'wujud', u'sekolah', u'tetap', u'lulus', u'libat', u'kaum', u'bekal']","[u'senario', u'ajar', u'sekolah', u'wujud', u'sabah', u'tetap', u'libat', u'laksana', u'kaum', u'status']","[u'senario', u'ajar', u'sekolah', u'sabah', u'wujud', u'bekal', u'laksana', u'tetap', u'agama', u'kaum']","[u'senario', u'ajar', u'sabah', u'tetap', u'sekolah', u'wujud', u'laksana', u'libat', u'tangan', u'status']","[u'senario', u'ajar', u'sabah', u'sekolah', u'tetap', u'wujud', u'bekal', u'libat', u'laksana', u'belanja']","[u'senario', u'ajar', u'sabah', u'sekolah', u'tetap', u'wujud', u'bekal', u'libat', u'status', u'laksana']","[u'senario', u'ajar', u'sekolah', u'sabah', u'tetap', u'wujud', u'laksana', u'bekal', u'agama', u'status']"
